Spectra,Wavelength
6.348946e-05,2499.9235558043542
1.4380411e-05,2500.224896633387
-5.4270167e-05,2500.526310118435
-0.00014781892,2500.827796285779
-0.00028419704,2501.129355161712
-0.0004830244,2501.4309867725387
-0.0007545352,2501.732691144578
-0.0010911237,2502.0344683041603
-0.0014662546,2502.33631827763
-0.0018389171,2502.6382410913434
-0.0021675453,2502.940236771669
-0.0024177746,2503.2423053449893
-0.002570603,2503.544446837698
-0.0026242896,2503.8466612762036
-0.0025898058,2504.148948686925
-0.0024849216,2504.451309096296
-0.0023261306,2504.7537425307614
-0.0021279806,2505.05624901678
-0.0019032178,2505.358828580823
-0.0016636505,2505.661481249374
-0.0014235546,2505.96420704893
-0.001199352,2506.2670060060004
-0.0010052159,2506.5698781471074
-0.0008527614,2506.872823498787
-0.0007480852,2507.1758420875863
-0.0006924792,2507.4789339400663
-0.00068539975,2507.7820990828013
-0.0007256915,2508.085337542377
-0.0008110262,2508.388649345394
-0.00093529385,2508.692034518463
-0.0010843482,2508.9954930882104
-0.0012359617,2509.299025081274
-0.0013591499,2509.602630524304
-0.0014229931,2509.9063094439653
-0.0014065461,2510.2100618669338
-0.0013067604,2510.5138878198995
-0.0011450925,2510.817787329565
-0.0009632971,2511.121760422646
-0.0008185666,2511.4258071258705
-0.0007631681,2511.72992746598
-0.00083033997,2512.0341214697287
-0.0010239261,2512.3383891638846
-0.0013163732,2512.6427305752272
-0.0016569169,2512.9471457305503
-0.0019826815,2513.25163465666
-0.0022406317,2513.5561973803756
-0.0023943463,2513.860833928529
-0.0024316793,2514.1655443279656
-0.0023633705,2514.4703286055437
-0.0022160732,2514.7751867881348
-0.0020234466,2515.0801189026233
-0.001813544,2515.385124975906
-0.0016062468,2515.6902050348936
-0.0014094195,2515.9953591065096
-0.001223142,2516.3005872176905
-0.0010442219,2516.6058893953864
-0.0008725693,2516.911265666559
-0.0007126252,2517.216716058185
-0.0005734696,2517.5222405972527
-0.00046425787,2517.8278393107644
-0.00038934918,2518.133512225735
-0.0003462783,2518.4392593691928
-0.00032542,2518.745080768179
-0.00031399715,2519.0509764497483
-0.00030171312,2519.3569464409684
-0.0002867798,2519.66299076892
-0.00027770697,2519.969109460697
-0.00029267374,2520.275302543406
-0.00035220452,2520.581570044168
-0.00047008318,2520.887911990116
-0.0006485451,2521.1943284083973
-0.0008741565,2521.500819326171
-0.00112186,2521.8073847706105
-0.0013592159,2522.1140247689023
-0.0015574528,2522.4207393482457
-0.0016951713,2522.7275285358533
-0.0017609122,2523.0343923589508
-0.0017530252,2523.3413308447784
-0.001676358,2523.6483440205875
-0.0015389307,2523.955431913645
-0.001349604,2524.2625945512286
-0.001118489,2524.5698319606317
-0.0008606317,2524.8771441691597
-0.00059640064,2525.184531204131
-0.00035280045,2525.491993092878
-0.00015974295,2525.7995298627466
-4.24095e-05,2526.1071415410947
-1.6931164e-05,2526.4148281552957
-8.458296e-05,2526.7225897327344
-0.0002327705,2527.0304263008097
-0.00043688444,2527.3383378869335
-0.0006687262,2527.646324518532
-0.0009055694,2527.9543862230435
-0.0011316423,2528.262523027921
-0.0013405203,2528.5707349606296
-0.0015302802,2528.8790220486485
-0.0016969206,2529.1873843194703
-0.0018313614,2529.4958218006013
-0.0019191182,2529.80433451956
-0.001942638,2530.11292250388
-0.0018886693,2530.4215857811064
-0.0017527281,2530.7303243787997
-0.0015421994,2531.039138324533
-0.001274088,2531.3480276458927
-0.00097156217,2531.6569923704783
-0.0006604554,2531.9660325259038
-0.00036359325,2532.2751481397963
-0.000100881436,2532.584339239796
0.00011141093,2532.893605853557
0.000262302,2533.2029480087463
0.00034668724,2533.5123657330455
0.00036698196,2533.8218590541487
0.00033186478,2534.131427999764
0.00025335047,2534.4410725976136
0.00014402441,2534.7507928754317
1.113318e-05,2535.060588860968
-0.00014520221,2535.370460581984
-0.00033339925,2535.6804080662555
-0.00056615664,2535.9904313415727
-0.00085362117,2536.300530435738
-0.0011898355,2536.610705376568
-0.0015479112,2536.9209561918933
-0.0018798938,2537.2312829095576
-0.0021313769,2537.541685557418
-0.0022601127,2537.8521641633465
-0.0022401703,2538.162718755227
-0.0020705394,2538.4733493609583
-0.0017712411,2538.7840560084524
-0.0013836249,2539.094838725635
-0.0009631979,2539.405697540445
-0.00056953187,2539.716632480837
-0.00026111712,2540.0276435747755
-7.822242e-05,2540.3387308502433
-3.8466915e-05,2540.649894335233
-0.00013695452,2540.9611340577535
-0.00035005255,2541.2724500458257
-0.0006419612,2541.5838423274854
-0.0009658097,2541.8953109307813
-0.0012732621,2542.206855883777
-0.0015171061,2542.518477214548
-0.0016609768,2542.8301749511857
-0.0016911117,2543.141949121794
-0.0016218942,2543.453799754491
-0.0014939595,2543.765726877408
-0.0013537989,2544.0777305186907
-0.0012419418,2544.3898107064983
-0.0011792285,2544.7019674690046
-0.0011665063,2545.014200834396
-0.0011930077,2545.3265108308738
-0.0012455431,2545.6388974866522
-0.0013167367,2545.9513608299603
-0.0014055222,2546.26390088904
-0.0015140023,2546.5765176921477
-0.001641469,2546.8892112675535
-0.0017769169,2547.201981643542
-0.0018958941,2547.51482884841
-0.0019656287,2547.8277529104703
-0.0019545788,2548.1407538580484
-0.0018525765,2548.453831719484
-0.0016805829,2548.76698652313
-0.0014870252,2549.0802182973553
-0.0013268448,2549.39352707054
-0.0012411489,2549.7069128710805
-0.0012503999,2550.0203757273857
-0.0013504297,2550.3339156678794
-0.001517007,2550.6475327209982
-0.0017097592,2550.9612269151944
-0.0018851063,2551.274998278933
-0.0020048784,2551.5888468406924
-0.0020443555,2551.9027726289673
-0.001998711,2552.2167756722647
-0.0018804217,2552.530855999106
-0.001716162,2552.845013638026
-0.0015373459,2553.159248617575
-0.0013748391,2553.4735609663167
-0.0012514241,2553.7879507128278
-0.0011762545,2554.102417885701
-0.0011471413,2554.4169625135414
-0.0011534533,2554.7315846249694
-0.0011813433,2555.0462842486186
-0.0012158068,2555.361061413137
-0.0012431312,2555.6759161471873
-0.001253142,2555.990848479446
-0.0012402899,2556.305858438603
-0.0012054318,2556.6209460533632
-0.0011555022,2556.936111352445
-0.0011012041,2557.2513543645823
-0.0010530474,2557.5666751185213
-0.0010163892,2557.8820736430234
-0.0009907696,2558.1975499668647
-0.0009699092,2558.5131041188342
-0.0009450142,2558.8287361277366
-0.00090818154,2559.1444460223893
-0.0008567627,2559.4602338316245
-0.0007955151,2559.7760995842896
-0.00073908817,2560.0920433092447
-0.00071103737,2560.408065035365
-0.0007408413,2560.72416479154
-0.0008581516,2561.040342606673
-0.0010786634,2561.3565985096825
-0.0013923113,2561.6729325295
-0.0017582722,2561.9893446950723
-0.0021208916,2562.30583503536
-0.002429274,2562.622403579338
-0.0026518218,2562.9390503559957
-0.00277856,2563.255775394337
-0.0028113169,2563.5725787233805
-0.0027581803,2563.8894603721574
-0.0026324901,2564.206420369715
-0.0024551053,2564.523458745115
-0.0022577394,2564.840575527432
-0.002076739,2565.1577707457564
-0.0019457716,2565.4750444291926
-0.0018848095,2565.792396606859
-0.0018939148,2566.109827307888
-0.0019554035,2566.427336561428
-0.0020381224,2566.744924396641
-0.0021075704,2567.0625908427032
-0.0021285412,2567.380335928805
-0.0020762114,2567.698159684152
-0.0019432647,2568.0160621379637
-0.00174725,2568.3340433194744
-0.0015362893,2568.652103257933
-0.0013817091,2568.9702419826026
-0.001369125,2569.288459522761
-0.001555769,2569.6067559077
-0.0019296083,2569.9251311667263
-0.0023907546,2570.2435853291613
-0.0027969633,2570.562118424341
-0.003037749,2570.880730481615
-0.0030736777,2571.199421530349
-0.002934849,2571.518191599922
-0.0026840942,2571.8370407197276
-0.0023898978,2572.155968919175
-0.002104174,2572.474976227687
-0.0018608246,2572.7940626747018
-0.0016726283,2573.113228289671
-0.0015274738,2573.4324731020624
-0.0013913534,2573.751797141357
-0.0012208621,2574.0712004370516
-0.0009926208,2574.3906830186565
-0.0007162971,2574.710244915698
-0.00043109176,2575.029886157715
-0.00018561035,2575.3496067742635
-2.8096756e-05,2575.669406794913
1.7229735e-06,2575.989286249247
-0.00012082303,2576.309245166865
-0.00039759208,2576.6292835773806
-0.00078992563,2576.949401510422
-0.001219111,2577.2695989956324
-0.0015825108,2577.5898760626696
-0.0018026222,2577.9102327412065
-0.001859274,2578.23066906093
-0.0017801508,2578.551185051542
-0.0016143017,2578.8717807427597
-0.0014062158,2579.192456164315
-0.0011888111,2579.5132113459536
-0.0009803891,2579.8340463174372
-0.0007895949,2580.154961108542
-0.0006247897,2580.4759557490584
-0.0004969912,2580.7970302687922
-0.00042231986,2581.118184697564
-0.00041838072,2581.4394190652097
-0.00049086835,2581.7607334015784
-0.0006291902,2582.0821277365358
-0.0008092734,2582.403602099962
-0.0010066375,2582.7251565217516
-0.0011998476,2583.0467910318143
-0.0013685635,2583.368505660075
-0.0014929689,2583.6903004364726
-0.0015532268,2584.012175390962
-0.0015382044,2584.3341305535128
-0.0014526822,2584.656165954109
-0.0013160099,2584.97828162275
-0.0011516027,2585.3004775894497
-0.0009801907,2585.6227538842377
-0.0008189966,2585.945110537158
-0.00068506895,2586.26754757827
-0.0005966653,2586.5900650376475
-0.00057578593,2586.91266294538
-0.00064252364,2587.235341331571
-0.00080302265,2587.5581002263402
-0.0010359252,2587.8809396598217
-0.0012915973,2588.203859662165
-0.0015155212,2588.526860263534
-0.0016702189,2588.849941494109
-0.0017524641,2589.173103384083
-0.0017840776,2589.496345963666
-0.0017962208,2589.819669263083
-0.0018125871,2590.1430733125735
-0.0018426784,2590.466558142393
-0.0018839187,2590.7901237828096
-0.0019279589,2591.1137702641104
-0.0019684983,2591.437497616594
-0.0020051093,2591.7613058705765
-0.0020456086,2592.0851950563883
-0.0021034817,2592.4091652043753
-0.0021935243,2592.7332163448978
-0.0023241204,2593.057348508332
-0.002489501,2593.3815617250693
-0.0026630517,2593.7058560255155
-0.002796338,2594.030231440093
-0.0028172752,2594.3546879992377
-0.0026413822,2594.6792257334027
-0.002210502,2595.0038446730546
-0.0015694372,2595.328544848676
-0.0009065613,2595.6533262907647
-0.00042602725,2595.978189029834
-0.00019491694,2596.3031330964122
-0.00015659638,2596.6281585210427
-0.00023912879,2596.953265334285
-0.00040378244,2597.278453566712
-0.0006369653,2597.603723248915
-0.0009295409,2597.9290744114974
-0.0012621285,2598.25450708508
-0.0016013941,2598.580021300299
-0.0019070775,2598.9056170878043
-0.0021363224,2599.231294478263
-0.0022577064,2599.5570535023558
-0.0022577064,2599.8828941907805
-0.0021418617,2600.208816574249
-0.0019345894,2600.5348206834897
-0.0016739817,2600.860906549245
-0.0014091552,2601.1870742022747
-0.0011858373,2601.5133236733523
-0.0010347683,2601.839654993267
-0.0009652477,2602.166068192824
-0.0009668015,2602.492563302844
-0.0010216121,2602.8191403541628
-0.00111915,2603.1457993776316
-0.001266159,2603.4725404041174
-0.0014849119,2603.7993634645027
-0.0018028201,2604.126268589685
-0.0022347642,2604.4532558105784
-0.0027632175,2604.7803251581113
-0.0033242076,2605.107476663228
-0.0038243742,2605.4347103568894
-0.004172606,2605.7620262700702
-0.004319766,2606.089424433762
-0.004275082,2606.416904878971
-0.0040887827,2606.74446763672
-0.0038245383,2607.072112738047
-0.003534959,2607.3998402140055
-0.0032544935,2607.727650095664
-0.002996388,2608.055542414108
-0.002757851,2608.383517200438
-0.002527188,2608.7115744857692
-0.0022912277,2609.0397143012337
-0.002043597,2609.367936677979
-0.0017908092,2609.6962416471683
-0.0015543493,2610.0246292399797
-0.0013633778,2610.3530994876082
-0.0012447172,2610.6816524212636
-0.0012090002,2611.0102880721724
-0.0012472941,2611.339006471575
-0.0013326916,2611.6678076507296
-0.0014282772,2611.996691640909
-0.0014942567,2612.325658473402
-0.001493134,2612.6547081795134
-0.001405192,2612.9838407905627
-0.0012390343,2613.3130563378872
-0.0010382391,2613.642354852838
-0.0008638724,2613.971736366783
-0.00077199924,2614.3012009111058
-0.0007934976,2614.6307485172056
-0.0009299707,2614.960379216498
-0.0011636313,2615.2900930404135
-0.0014672783,2615.6198900203995
-0.001813907,2615.9497701879186
-0.0021751611,2616.2797335744494
-0.002519809,2616.609780211486
-0.002815366,2616.9399101305394
-0.0030314974,2617.270123363136
-0.003154375,2617.6004199408176
-0.0031934185,2617.930799895142
-0.0031792093,2618.2612632576843
-0.0031449012,2618.591810060034
-0.003114604,2618.9224403337967
-0.003101083,2619.253154110595
-0.0031044055,2619.583951422067
-0.0031127946,2619.914832299866
-0.00310332,2620.2457967756613
-0.003050943,2620.5768448811405
-0.0029423197,2620.9079766480045
-0.0027872843,2621.239192107971
