Spectra,Wavelength
-0.0015104694,2499.9235558043542
-0.0015675224,2500.224896633387
-0.0016291894,2500.526310118435
-0.0017018713,2500.827796285779
-0.0017914032,2501.129355161712
-0.0019015024,2501.4309867725387
-0.0020313286,2501.732691144578
-0.0021735786,2502.0344683041603
-0.0023145955,2502.33631827763
-0.0024348754,2502.6382410913434
-0.0025143735,2502.940236771669
-0.002535621,2503.2423053449893
-0.0024883149,2503.544446837698
-0.0023721363,2503.8466612762036
-0.0021976451,2504.148948686925
-0.0019852212,2504.451309096296
-0.0017592292,2504.7537425307614
-0.0015471518,2505.05624901678
-0.0013744758,2505.358828580823
-0.001259188,2505.661481249374
-0.0012096281,2505.96420704893
-0.0012209283,2506.2670060060004
-0.0012773586,2506.5698781471074
-0.001354922,2506.872823498787
-0.0014297634,2507.1758420875863
-0.0014865629,2507.4789339400663
-0.0015208372,2507.7820990828013
-0.0015389307,2508.085337542377
-0.0015531278,2508.388649345394
-0.0015760731,2508.692034518463
-0.0016141036,2508.9954930882104
-0.0016647397,2509.299025081274
-0.0017175481,2509.602630524304
-0.0017592292,2509.9063094439653
-0.0017797218,2510.2100618669338
-0.0017761249,2510.5138878198995
-0.0017537512,2510.817787329565
-0.0017238517,2511.121760422646
-0.0016983068,2511.4258071258705
-0.0016836524,2511.72992746598
-0.0016782065,2512.0341214697287
-0.0016725294,2512.3383891638846
-0.0016551345,2512.6427305752272
-0.0016175037,2512.9471457305503
-0.0015598629,2513.25163465666
-0.0014924406,2513.5561973803756
-0.0014335943,2513.860833928529
-0.0014042011,2514.1655443279656
-0.0014198887,2514.4703286055437
-0.001485176,2514.7751867881348
-0.0015884201,2515.0801189026233
-0.0017051717,2515.385124975906
-0.0018014343,2515.6902050348936
-0.001845252,2515.9953591065096
-0.0018184934,2516.3005872176905
-0.0017236867,2516.6058893953864
-0.0015860762,2516.911265666559
-0.0014445253,2517.216716058185
-0.0013442528,2517.5222405972527
-0.0013203373,2517.8278393107644
-0.0013872249,2518.133512225735
-0.0015348037,2518.4392593691928
