Spectra,Wavelength
-0.0028413062,2499.9235558043542
-0.0030625244,2500.224896633387
-0.0033176641,2500.526310118435
-0.0035764333,2500.827796285779
-0.0038147508,2501.129355161712
-0.0040177465,2501.4309867725387
-0.0041782176,2501.732691144578
-0.004293685,2502.0344683041603
-0.0043611,2502.33631827763
-0.004373893,2502.6382410913434
-0.0043232767,2502.940236771669
-0.004201517,2503.2423053449893
-0.004007537,2503.544446837698
-0.0037496486,2503.8466612762036
-0.003447791,2504.148948686925
-0.0031315128,2504.451309096296
-0.0028317927,2504.7537425307614
-0.0025805505,2505.05624901678
-0.0024044625,2505.358828580823
-0.002319704,2505.661481249374
-0.0023305798,2505.96420704893
-0.0024251882,2506.2670060060004
-0.0025777176,2506.5698781471074
-0.0027507064,2506.872823498787
-0.0029040433,2507.1758420875863
-0.0030062268,2507.4789339400663
-0.0030386704,2507.7820990828013
-0.0030008631,2508.085337542377
-0.0029080587,2508.388649345394
-0.0027877123,2508.692034518463
-0.0026707246,2508.9954930882104
-0.0025825596,2509.299025081274
-0.002539574,2509.602630524304
-0.0025441528,2509.9063094439653
-0.0025868416,2510.2100618669338
-0.0026495494,2510.5138878198995
-0.002711557,2510.817787329565
-0.0027544599,2511.121760422646
-0.002763942,2511.4258071258705
-0.0027330583,2511.72992746598
-0.0026617015,2512.0341214697287
-0.00255667,2512.3383891638846
-0.0024308225,2512.6427305752272
-0.0023019724,2512.9471457305503
-0.002191645,2513.25163465666
-0.0021206609,2513.5561973803756
-0.0021072407,2513.860833928529
-0.0021626,2514.1655443279656
-0.0022887888,2514.4703286055437
-0.0024764217,2514.7751867881348
-0.0027041482,2515.0801189026233
-0.002945545,2515.385124975906
-0.0031694402,2515.6902050348936
-0.0033482432,2515.9953591065096
-0.0034645884,2516.3005872176905
-0.0035131685,2516.6058893953864
-0.0035024867,2516.911265666559
-0.0034500265,2517.216716058185
-0.0033794448,2517.5222405972527
-0.0033126988,2517.8278393107644
-0.0032648526,2518.133512225735
-0.0032413714,2518.4392593691928
-0.0032369974,2518.745080768179
-0.0032389048,2519.0509764497483
-0.003229762,2519.3569464409684
-0.0031958525,2519.66299076892
-0.0031319074,2519.969109460697
-0.003043507,2520.275302543406
-0.0029456106,2520.581570044168
-0.002858851,2520.887911990116
-0.0028036463,2521.1943284083973
-0.0027927824,2521.500819326171
-0.0028293568,2521.8073847706105
-0.0029055243,2522.1140247689023
-0.0030060294,2522.4207393482457
-0.0031121036,2522.7275285358533
-0.0032060158,2523.0343923589508
-0.0032771847,2523.3413308447784
-0.0033247336,2523.6483440205875
-0.0033588961,2523.955431913645
-0.0033970007,2524.2625945512286
-0.003459099,2524.5698319606317
-0.003559443,2524.8771441691597
-0.0036998794,2525.184531204131
-0.0038683165,2525.491993092878
-0.0040407265,2525.7995298627466
-0.0041897036,2526.1071415410947
-0.004288862,2526.4148281552957
-0.00432285,2526.7225897327344
-0.0042911256,2527.0304263008097
-0.0042091957,2527.3383378869335
-0.0041036187,2527.646324518532
-0.004001759,2527.9543862230435
-0.0039255205,2528.262523027921
-0.0038824049,2528.5707349606296
-0.0038654923,2528.8790220486485
-0.003857085,2529.1873843194703
-0.0038361978,2529.4958218006013
-0.003785847,2529.80433451956
-0.0036958712,2530.11292250388
-0.0035647012,2530.4215857811064
-0.0033964748,2530.7303243787997
-0.0031984837,2531.039138324533
-0.0029784536,2531.3480276458927
-0.002745636,2531.6569923704783
-0.0025142746,2531.9660325259038
-0.0023056308,2532.2751481397963
-0.0021480273,2532.584339239796
-0.0020702428,2532.893605853557
-0.0020891048,2533.2029480087463
-0.0022013043,2533.5123657330455
-0.0023823187,2533.8218590541487
-0.0025972824,2534.131427999764
-0.0028108559,2534.4410725976136
-0.0029973092,2534.7507928754317
-0.0031456908,2535.060588860968
-0.0032556115,2535.370460581984
-0.0033343348,2535.6804080662555
-0.0033911818,2535.9904313415727
-0.0034324396,2536.300530435738
-0.0034591646,2536.610705376568
-0.003468204,2536.9209561918933
-0.003457061,2537.2312829095576
-0.0034277716,2537.541685557418
-0.0033880256,2537.8521641633465
-0.0033489666,2538.162718755227
-0.0033207221,2538.4733493609583
-0.0033083912,2538.7840560084524
-0.0033102985,2539.094838725635
-0.0033190122,2539.405697540445
-0.0033263776,2539.716632480837
-0.0033271997,2540.0276435747755
-0.0033234512,2540.3387308502433
-0.0033235499,2540.649894335233
-0.003338938,2540.9611340577535
-0.0033773736,2541.2724500458257
-0.0034385212,2541.5838423274854
-0.0035091918,2541.8953109307813
-0.0035668043,2542.206855883777
-0.0035832357,2542.518477214548
-0.003535419,2542.8301749511857
-0.003418008,2543.141949121794
-0.0032506126,2543.453799754491
-0.0030740397,2543.765726877408
-0.0029321832,2544.0777305186907
-0.0028590814,2544.3898107064983
-0.0028678372,2544.7019674690046
-0.0029503168,2545.014200834396
-0.0030859495,2545.3265108308738
-0.003250481,2545.6388974866522
-0.0034261607,2545.9513608299603
-0.0036022621,2546.26390088904
-0.0037751717,2546.5765176921477
-0.003942825,2546.8892112675535
-0.0040984326,2547.201981643542
-0.0042245197,2547.51482884841
-0.0042935205,2547.8277529104703
-0.0042727855,2548.1407538580484
-0.0041416255,2548.453831719484
-0.0039034213,2548.76698652313
-0.0035890192,2549.0802182973553
-0.003244101,2549.39352707054
-0.0029151018,2549.7069128710805
-0.0026446756,2550.0203757273857
-0.0024626832,2550.3339156678794
-0.002384329,2550.6475327209982
-0.0024062088,2550.9612269151944
-0.0025036999,2551.274998278933
-0.0026343674,2551.5888468406924
-0.0027459322,2551.9027726289673
-0.0027953172,2552.2167756722647
-0.0027614068,2552.530855999106
-0.0026558395,2552.845013638026
-0.00251915,2553.159248617575
-0.0024062088,2553.4735609663167
-0.002362382,2553.7879507128278
-0.0024011673,2554.102417885701
-0.0025044905,2554.4169625135414
-0.0026348284,2554.7315846249694
-0.002756995,2555.0462842486186
-0.002845684,2555.361061413137
-0.0028917664,2555.6759161471873
-0.0029012128,2555.990848479446
-0.002889989,2556.305858438603
-0.002878436,2556.6209460533632
-0.0028830112,2556.936111352445
-0.0029135551,2557.2513543645823
-0.0029692065,2557.5666751185213
-0.0030413684,2557.8820736430234
-0.0031163802,2558.1975499668647
-0.0031808538,2558.5131041188342
-0.0032254534,2558.8287361277366
-0.0032458112,2559.1444460223893
