Spectra,Wavelength
-0.0039149146,2499.9235558043542
-0.0038830289,2500.224896633387
-0.0038912056,2500.526310118435
-0.0039365534,2500.827796285779
-0.0040143654,2501.129355161712
-0.004117765,2501.4309867725387
-0.0042347247,2501.732691144578
-0.004347913,2502.0344683041603
-0.004434343,2502.33631827763
-0.004468451,2502.6382410913434
-0.0044317846,2502.940236771669
-0.004318454,2503.2423053449893
-0.0041420194,2503.544446837698
-0.003931431,2503.8466612762036
-0.0037266207,2504.148948686925
-0.0035668043,2504.451309096296
-0.0034772435,2504.7537425307614
-0.0034659689,2505.05624901678
-0.003521451,2505.358828580823
-0.0036188564,2505.661481249374
-0.0037262593,2505.96420704893
-0.0038134372,2506.2670060060004
-0.0038607633,2506.5698781471074
-0.0038606648,2506.872823498787
-0.003816623,2507.1758420875863
-0.003739071,2507.4789339400663
-0.0036400498,2507.7820990828013
-0.0035294704,2508.085337542377
-0.0034138986,2508.388649345394
-0.003298066,2508.692034518463
-0.003186281,2508.9954930882104
-0.003083087,2509.299025081274
-0.002994282,2509.602630524304
-0.0029255021,2509.9063094439653
-0.0028804438,2510.2100618669338
-0.002859674,2510.5138878198995
-0.0028598057,2510.817787329565
-0.002874519,2511.121760422646
-0.0028955187,2511.4258071258705
-0.002915826,2511.72992746598
-0.00293113,2512.0341214697287
-0.0029411677,2512.3383891638846
-0.0029492308,2512.6427305752272
-0.0029607161,2512.9471457305503
-0.002981547,2513.25163465666
-0.003016197,2513.5561973803756
-0.0030683149,2513.860833928529
-0.0031400656,2514.1655443279656
-0.0032334125,2514.4703286055437
-0.0033495254,2514.7751867881348
-0.0034874,2515.0801189026233
-0.0036430398,2515.385124975906
-0.0038069997,2515.6902050348936
-0.00396502,2515.9953591065096
-0.0041028964,2516.3005872176905
-0.0042096223,2516.6058893953864
-0.004283645,2516.911265666559
-0.004333479,2517.216716058185
-0.004376878,2517.5222405972527
-0.004432178,2517.8278393107644
-0.004510623,2518.133512225735
-0.0046096426,2518.4392593691928
-0.0047106063,2518.745080768179
-0.004784708,2519.0509764497483
-0.0047991923,2519.3569464409684
-0.0047324677,2519.66299076892
-0.0045815785,2519.969109460697
-0.004364774,2520.275302543406
-0.0041157627,2520.581570044168
-0.0038724544,2520.887911990116
-0.0036673865,2521.1943284083973
-0.0035174415,2521.500819326171
-0.0034233665,2521.8073847706105
-0.0033748748,2522.1140247689023
-0.0033583043,2522.4207393482457
-0.0033644196,2522.7275285358533
-0.003391609,2523.0343923589508
-0.0034452928,2523.3413308447784
-0.00353325,2523.6483440205875
-0.0036589426,2523.955431913645
-0.0038176083,2524.2625945512286
-0.00399493,2524.5698319606317
-0.0041714576,2524.8771441691597
-0.0043290504,2525.184531204131
-0.0044535617,2525.491993092878
-0.004536823,2525.7995298627466
-0.004575382,2526.1071415410947
-0.004567546,2526.4148281552957
-0.0045130495,2526.7225897327344
-0.0044139423,2527.0304263008097
-0.004276657,2527.3383378869335
-0.0041141217,2527.646324518532
-0.003943022,2527.9543862230435
-0.0037822996,2528.262523027921
-0.0036465228,2528.5707349606296
-0.0035415648,2528.8790220486485
-0.0034642925,2529.1873843194703
-0.0034049568,2529.4958218006013
-0.0033525503,2529.80433451956
-0.0033001706,2530.11292250388
-0.0032483106,2530.4215857811064
-0.0032045685,2530.7303243787997
-0.0031809856,2531.039138324533
-0.003188123,2531.3480276458927
-0.0032293673,2531.6569923704783
-0.003298099,2531.9660325259038
-0.0033794777,2532.2751481397963
-0.0034526233,2532.584339239796
-0.0034973593,2532.893605853557
-0.0035010076,2533.2029480087463
-0.003459559,2533.5123657330455
-0.0033767489,2533.8218590541487
-0.0032589003,2534.131427999764
-0.0031132551,2534.4410725976136
-0.0029474536,2534.7507928754317
-0.002771745,2535.060588860968
-0.002603145,2535.370460581984
-0.0024669992,2535.6804080662555
-0.0023926988,2535.9904313415727
-0.0024062418,2536.300530435738
-0.0025161195,2536.610705376568
-0.0027046092,2536.9209561918933
-0.0029290894,2537.2312829095576
-0.0031369077,2537.541685557418
-0.0032852741,2537.8521641633465
-0.0033465663,2538.162718755227
-0.0033152308,2538.4733493609583
-0.0032058512,2538.7840560084524
-0.003050647,2539.094838725635
-0.002893149,2539.405697540445
-0.002779021,2539.716632480837
-0.0027483029,2540.0276435747755
-0.0028215877,2540.3387308502433
-0.0029960917,2540.649894335233
-0.00324466,2540.9611340577535
-0.0035252636,2541.2724500458257
-0.0037876207,2541.5838423274854
-0.00397881,2541.8953109307813
-0.004056122,2542.206855883777
-0.0039946344,2542.518477214548
-0.003798427,2542.8301749511857
-0.003503374,2543.141949121794
-0.0031733874,2543.453799754491
-0.002882254,2543.765726877408
-0.0026855431,2544.0777305186907
-0.0026112802,2544.3898107064983
-0.0026555432,2544.7019674690046
-0.0027931116,2545.014200834396
-0.0029890498,2545.3265108308738
-0.0032101928,2545.6388974866522
-0.0034338203,2545.9513608299603
-0.0036461614,2546.26390088904
-0.0038413212,2546.5765176921477
-0.004017287,2546.8892112675535
-0.004170834,2547.201981643542
-0.0042925035,2547.51482884841
-0.0043668407,2547.8277529104703
-0.0043734335,2548.1407538580484
-0.0042964076,2548.453831719484
-0.0041332236,2548.76698652313
-0.0038979703,2549.0802182973553
-0.0036165891,2549.39352707054
-0.0033187491,2549.7069128710805
-0.00303538,2550.0203757273857
-0.0027931444,2550.3339156678794
-0.0026140139,2550.6475327209982
-0.0025141428,2550.9612269151944
-0.002498297,2551.274998278933
-0.0025595685,2551.5888468406924
-0.0026791547,2551.9027726289673
-0.0028338996,2552.2167756722647
-0.003000501,2552.530855999106
-0.0031594075,2552.845013638026
-0.003297178,2553.159248617575
