Spectra,Wavelength
-0.0033620524,2499.9235558043542
-0.0033866777,2500.224896633387
-0.0034739564,2500.526310118435
-0.0036080128,2500.827796285779
-0.0037681423,2501.129355161712
-0.003935273,2501.4309867725387
-0.0040943297,2501.732691144578
-0.0042344294,2502.0344683041603
-0.0043465025,2502.33631827763
-0.004420502,2502.6382410913434
-0.00444592,2502.940236771669
-0.00441368,2503.2423053449893
-0.0043205535,2503.544446837698
-0.0041721137,2503.8466612762036
-0.0039854418,2504.148948686925
-0.0037866025,2504.451309096296
-0.0036034451,2504.7537425307614
-0.0034625505,2505.05624901678
-0.0033818448,2505.358828580823
-0.0033664252,2505.661481249374
-0.00340831,2505.96420704893
-0.0034864799,2506.2670060060004
-0.0035764333,2506.5698781471074
-0.0036541128,2506.872823498787
-0.0037045444,2507.1758420875863
-0.0037258323,2507.4789339400663
-0.003726555,2507.7820990828013
-0.0037207075,2508.085337542377
-0.0037200504,2508.388649345394
-0.0037298072,2508.692034518463
-0.0037459696,2508.9954930882104
-0.003758485,2509.299025081274
-0.0037561199,2509.602630524304
-0.0037351947,2509.9063094439653
-0.0037024748,2510.2100618669338
-0.0036759288,2510.5138878198995
-0.0036762573,2510.817787329565
-0.003718408,2511.121760422646
-0.0038020727,2511.4258071258705
-0.003908478,2511.72992746598
-0.004005206,2512.0341214697287
-0.004055301,2512.3383891638846
-0.004035244,2512.6427305752272
-0.003942956,2512.9471457305503
-0.0038021058,2513.25163465666
-0.0036517798,2513.5561973803756
-0.0035369638,2513.860833928529
-0.0034918704,2514.1655443279656
-0.003527827,2514.4703286055437
-0.0036306526,2514.7751867881348
-0.0037638722,2515.0801189026233
-0.0038856887,2515.385124975906
-0.003960555,2515.6902050348936
-0.0039732284,2515.9953591065096
-0.0039338935,2516.3005872176905
-0.00387252,2516.6058893953864
-0.0038263777,2516.911265666559
-0.0038226007,2517.216716058185
-0.003871699,2517.5222405972527
-0.003962164,2517.8278393107644
-0.0040678736,2518.133512225735
-0.0041544246,2518.4392593691928
-0.00419269,2518.745080768179
-0.0041666003,2519.0509764497483
-0.0040767035,2519.3569464409684
-0.003939738,2519.66299076892
-0.0037819382,2519.969109460697
-0.0036338398,2520.275302543406
-0.0035208922,2520.581570044168
-0.0034587374,2520.887911990116
-0.0034522288,2521.1943284083973
-0.0034949598,2521.500819326171
-0.0035729497,2521.8073847706105
-0.0036668607,2522.1140247689023
-0.0037571383,2522.4207393482457
-0.0038259178,2522.7275285358533
-0.0038584645,2523.0343923589508
-0.0038471012,2523.3413308447784
-0.003791431,2523.6483440205875
-0.0036990908,2523.955431913645
-0.003584057,2524.2625945512286
-0.003463175,2524.5698319606317
-0.0033527806,2524.8771441691597
-0.0032637673,2525.184531204131
-0.0032016414,2525.491993092878
-0.0031666113,2525.7995298627466
-0.003156184,2526.1071415410947
-0.0031671706,2526.4148281552957
-0.0031962143,2526.7225897327344
-0.0032400887,2527.0304263008097
-0.0032931664,2527.3383378869335
-0.0033470595,2527.646324518532
-0.003391083,2527.9543862230435
-0.0034138986,2528.262523027921
-0.0034078497,2528.5707349606296
-0.0033724417,2528.8790220486485
-0.0033162502,2529.1873843194703
-0.0032547235,2529.4958218006013
-0.0032051606,2529.80433451956
-0.003181709,2530.11292250388
-0.0031886164,2530.4215857811064
-0.0032179547,2530.7303243787997
-0.0032503167,2531.039138324533
-0.0032629124,2531.3480276458927
-0.0032374577,2531.6569923704783
-0.0031696374,2531.9660325259038
-0.0030725263,2532.2751481397963
-0.002974077,2532.584339239796
-0.0029061497,2532.893605853557
-0.0028875864,2533.2029480087463
-0.002916583,2533.5123657330455
-0.0029705227,2533.8218590541487
-0.0030195203,2534.131427999764
-0.003037387,2534.4410725976136
-0.0030112942,2534.7507928754317
-0.0029452487,2535.060588860968
-0.00285839,2535.370460581984
-0.0027811609,2535.6804080662555
-0.0027446812,2535.9904313415727
-0.0027731275,2536.300530435738
-0.0028707667,2536.610705376568
-0.0030195203,2536.9209561918933
-0.0031830578,2537.2312829095576
-0.0033210837,2537.541685557418
-0.0034038718,2537.8521641633465
-0.0034119592,2538.162718755227
-0.00333953,2538.4733493609583
-0.0031919384,2538.7840560084524
-0.0029865818,2539.094838725635
-0.002753077,2539.405697540445
-0.002531042,2539.716632480837
-0.0023670285,2540.0276435747755
-0.0023015111,2540.3387308502433
-0.0023591854,2540.649894335233
-0.0025440538,2540.9611340577535
-0.002838936,2541.2724500458257
-0.0032095679,2541.5838423274854
-0.0036076184,2541.8953109307813
-0.0039829793,2542.206855883777
-0.0042897477,2542.518477214548
-0.004496063,2542.8301749511857
-0.004595021,2543.141949121794
-0.0046054465,2543.453799754491
-0.0045638736,2543.765726877408
-0.004504983,2544.0777305186907
-0.0044523156,2544.3898107064983
-0.0044117775,2544.7019674690046
-0.004378223,2545.014200834396
-0.004343616,2545.3265108308738
-0.0043054298,2545.6388974866522
-0.004267962,2545.9513608299603
-0.004241812,2546.26390088904
-0.004239515,2546.5765176921477
-0.0042695045,2546.8892112675535
-0.0043337084,2547.201981643542
-0.0044220765,2547.51482884841
-0.004512361,2547.8277529104703
-0.004571382,2548.1407538580484
-0.004567349,2548.453831719484
-0.004484717,2548.76698652313
-0.004329739,2549.0802182973553
-0.004126955,2549.39352707054
-0.0039064423,2549.7069128710805
-0.0036954442,2550.0203757273857
-0.003509126,2550.3339156678794
-0.0033487692,2550.6475327209982
-0.0032019701,2550.9612269151944
-0.0030461063,2551.274998278933
-0.0028567773,2551.5888468406924
-0.0026184272,2551.9027726289673
-0.002335655,2552.2167756722647
-0.0020396723,2552.530855999106
-0.0017865525,2552.845013638026
-0.001634636,2553.159248617575
-0.0016238417,2553.4735609663167
-0.0017518041,2553.7879507128278
-0.0019744355,2554.102417885701
-0.0022243804,2554.4169625135414
-0.0024386314,2554.7315846249694
-0.0025814397,2555.0462842486186
-0.0026433251,2555.361061413137
-0.0026402625,2555.6759161471873
-0.0026025851,2555.990848479446
-0.0025673092,2556.305858438603
-0.0025666174,2556.6209460533632
-0.0026171426,2556.936111352445
-0.0027182084,2557.2513543645823
-0.0028528273,2557.5666751185213
-0.0029972105,2557.8820736430234
-0.0031274336,2558.1975499668647
-0.0032284134,2558.5131041188342
-0.003297178,2558.8287361277366
-0.0033410424,2559.1444460223893
-0.0033751708,2559.4602338316245
-0.0034173506,2559.7760995842896
-0.003485198,2560.0920433092447
-0.0035915824,2560.408065035365
-0.0037414364,2560.72416479154
-0.00392864,2561.040342606673
-0.0041338145,2561.3565985096825
-0.0043261307,2561.6729325295
-0.0044675,2561.9893446950723
-0.0045245592,2562.30583503536
-0.004474518,2562.622403579338
-0.0043051345,2562.9390503559957
-0.004015908,2563.255775394337
-0.003619415,2563.5725787233805
-0.0031505262,2563.8894603721574
-0.0026682548,2564.206420369715
-0.0022548058,2564.523458745115
-0.0019927411,2564.840575527432
-0.0019272332,2565.1577707457564
-0.0020514128,2565.4750444291926
-0.0023076085,2565.792396606859
-0.0026152325,2566.109827307888
-0.0028929512,2566.427336561428
-0.0030784484,2566.744924396641
-0.0031387827,2567.0625908427032
-0.0030639062,2567.380335928805
-0.0028683967,2567.698159684152
-0.0025843713,2568.0160621379637
-0.0022637055,2568.3340433194744
-0.001969422,2568.652103257933
-0.0017656642,2568.9702419826026
-0.0017084061,2569.288459522761
-0.0018202751,2569.6067559077
-0.0020733755,2569.9251311667263
-0.0023898978,2570.2435853291613
-0.0026801757,2570.562118424341
-0.0028847228,2570.880730481615
-0.0029881285,2571.199421530349
-0.0030114257,2571.518191599922
-0.0029876677,2571.8370407197276
-0.0029489016,2572.155968919175
-0.002916912,2572.474976227687
-0.0029035166,2572.7940626747018
-0.0029107905,2573.113228289671
-0.0029298135,2573.4324731020624
-0.002943241,2573.751797141357
-0.0029309983,2574.0712004370516
-0.0028821225,2574.3906830186565
-0.0028037122,2574.710244915698
-0.0027208754,2575.029886157715
-0.0026665423,2575.3496067742635
-0.002674775,2575.669406794913
-0.0027742141,2575.989286249247
-0.002979737,2576.309245166865
-0.003285044,2576.6292835773806
