,*Thu Aug 31 11:39:07 2023_5.7_5,
Wavenumbers [1/cm],Absorbance,
4000.122,0.02987138,
3999.640,0.02985104,
3999.158,0.02986612,
3998.676,0.02990863,
3998.194,0.029961,
3997.712,0.03000438,
3997.230,0.03002567,
3996.747,0.03002362,
3996.265,0.0300075,
3995.783,0.02999314,
3995.301,0.02999395,
3994.819,0.03001595,
3994.337,0.03005723,
3993.855,0.03011106,
3993.373,0.03017163,
3992.891,0.03023949,
3992.408,0.03032089,
3991.926,0.03042353,
3991.444,0.03054879,
3990.962,0.03068553,
3990.480,0.0308087,
3989.998,0.03088414,
3989.516,0.03088339,
3989.034,0.03079112,
3988.552,0.03061427,
3988.069,0.03037874,
3987.587,0.03012144,
3987.105,0.02987776,
3986.623,0.02966995,
3986.141,0.02950652,
3985.659,0.02938181,
3985.177,0.02928436,
3984.695,0.029203,
3984.212,0.029134,
3983.730,0.02908086,
3983.248,0.02905253,
3982.766,0.0290581,
3982.284,0.02910256,
3981.802,0.0291854,
3981.320,0.02930184,
3980.838,0.02944459,
3980.356,0.02960477,
3979.873,0.02977237,
3979.391,0.02993403,
3978.909,0.03007073,
3978.427,0.03016147,
3977.945,0.03018681,
3977.463,0.03013518,
3976.981,0.0300105,
3976.499,0.02983337,
3976.016,0.02963959,
3975.534,0.02946695,
3975.052,0.0293484,
3974.570,0.02929939,
3974.088,0.02931529,
3973.606,0.02937515,
3973.124,0.02945237,
3972.642,0.02952732,
3972.160,0.02959214,
3971.677,0.02965179,
3971.195,0.02971854,
3970.713,0.02980413,
3970.231,0.02991276,
3969.749,0.03003902,
3969.267,0.03017063,
3968.785,0.03029417,
3968.303,0.03040011,
3967.820,0.03048545,
3967.338,0.03055244,
3966.856,0.0306045,
3966.374,0.03064214,
3965.892,0.03066141,
3965.410,0.0306547,
3964.928,0.03061405,
3964.446,0.03053587,
3963.964,0.03042327,
3963.481,0.03028807,
3962.999,0.0301471,
3962.517,0.0300201,
3962.035,0.02992389,
3961.553,0.02986751,
3961.071,0.0298504,
3960.589,0.02986199,
3960.107,0.02988672,
3959.625,0.02990727,
3959.142,0.02990954,
3958.660,0.02988724,
3958.178,0.02984227,
3957.696,0.02978626,
3957.214,0.02973665,
3956.732,0.02971443,
3956.250,0.02973754,
3955.768,0.02981462,
3955.285,0.02994287,
3954.803,0.03010704,
3954.321,0.03028419,
3953.839,0.03044696,
3953.357,0.03057004,
3952.875,0.03063549,
3952.393,0.03063163,
3951.911,0.0305564,
3951.429,0.03041496,
3950.946,0.03022081,
3950.464,0.02999332,
3949.982,0.02975687,
3949.500,0.02954009,
3949.018,0.02936954,
3948.536,0.02926401,
3948.054,0.02922961,
3947.572,0.02925667,
3947.089,0.0293236,
3946.607,0.0294053,
3946.125,0.02948288,
3945.643,0.02954701,
3945.161,0.02959704,
3944.679,0.02963707,
3944.197,0.0296714,
3943.715,0.0297011,
3943.233,0.02972363,
3942.750,0.02973563,
3942.268,0.02973745,
3941.786,0.02973691,
3941.304,0.02974864,
3940.822,0.02978757,
3940.340,0.02986035,
3939.858,0.02996215,
3939.376,0.0300764,
3938.893,0.03018037,
